animeTitle	Tokyo Juushouden
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	550
animeRank	
animePopularity	9738
animeDescription	"Long ago, in feudal Japan, there was a fierce warrior named the Demon King. He controlled a band of demons, known as the Kyouma. Only the powers of ten warriors sealed the Demon King away and kept the Kyouma under control. But now, Lord Shindigan, a powerful Kyouma is planning to free the Demon King, and the reincarnations of the ten warriors must band together and save the earth. 

(Source: ANN)"
animeRelated	['Tokyo Juushouden: Fuuma Gogyou Denshou']
animeCharacters	['Segu, Jutto', 'Kifu, Kokono', 'Ranba, Hagiri', 'Narutaki, Minawa', 'Shirogane, Hajime', 'Kagami, Kyoshiro', 'Kazamatsuri, Jingo', 'Nanao, Farina', 'Amitaka, Futaba', 'Hanawa, Rokumon']
animeVoices	['Midorikawa, Hikaru', 'Imai, Yuka', 'Mitsuishi, Kotono', 'Yanaka, Hiroshi', 'Horiuchi, Kenyuu', 'Kosugi, Juurouta', 'Okiayu, Ryoutarou', 'Kimura, Akiko', 'Horie, Yui', 'Ootsuka, Houchuu']
animeStaff	[['Ooishi, Tetsuya', 'Script'], ['Miyamae, Mitsuharu', 'Art Director'], ['Koyama, Toshihisa', 'Art Director'], ['Akiyama, Kumi', 'Color Setting']]
