animeTitle	Kuro ga Ita Natsu
animeType	Movie
animeNumEpisode	1
releaseDate	1990-06-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	274
animeRank	
animePopularity	11780
animeDescription	"Hiroshima, summer of 1945. A young girl named Nobuko saves a starving kitten from crows. She wants to keep the kitten, but her parents dismiss the idea. Nobuko eventually convinces them to let her keep it. She and her brother Makoto name the cat Kuro. Kuro quickly brings joy and laughter to the family. As World War II takes its toll on Japan, it becomes harder for Nobuko and her family to care for Kuro. One August morning, Kuro begins acting strangely...
"
animeRelated	[]
animeCharacters	"['Nobuko', ""Nobuko's Mother"", ""Nobuko's Father"", 'Hiroko', 'Makoto']"
animeVoices	['Nakanishi, Taeko', 'Yada, Kouji']
animeStaff	[['Shirato, Takeshi', 'Director, Script'], ['Nakazawa, Keiji', 'Script, Original Creator'], ['Abo, Takao', 'In-Between Animation'], ['Kimura, Maki', 'Inserted Song Performance']]
