animeTitle	Gasaraki
animeType	TV
animeNumEpisode	25
releaseDate	1998-10-04 00:00:00
endDate	1999-03-28 00:00:00
animeNumMembers	
animeScore	6.65
animeUsers	4791
animeRank	
animePopularity	4072
animeDescription	"The flames of war explode in the Middle East as two shadow forces unleash monstrous new weapons of mass destruction! But in a world in which giant robots are real, the most dangerous weapon of all lies buried within a human mind. Yuushirou, the fourth son of the mysterious and powerful Gouwa family, finds himself at the center of events that will change the future of mankind forever! Nothing can prepare the human race for what is about to be unleashed in Gasaraki!

(Source: Sunrise)"
animeRelated	['Gasaraki']
animeCharacters	['Miharu', 'Gouwa, Yuushirou', 'Nishida, Hiraku', 'Meth', 'Hayakawa, Tamotsu', 'Fieseler, Phantom F.', 'Gunther', 'Shibasaki', 'Dole', 'Hirokawa, Akio']
animeVoices	['Kingetsu, Mami', 'Hiyama, Nobuyuki', 'Kishino, Yukimasa', 'Tokuhiro, Natsuo', 'Yasui, Kunihiko', 'Miyazaki, Issei', 'Morikawa, Toshiyuki', 'Naka, Hiroshi', 'Hori, Yukitoshi', 'Hiromori, Shingo']
animeStaff	[['Takahashi, Ryousuke', 'Director, Original Creator'], ['Urakami, Yasuo', 'Sound Director'], ['Okamoto, Hideki', 'Episode Director'], ['Takeda, Yuuichirou', 'Script']]
