animeTitle	Acchi Kocchi (TV): Place=Princess
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	29729
animeRank	
animePopularity	2402
animeDescription	Episode 13 of Acchi Kocchi that was included in Vol.6. 
animeRelated	['Acchi Kocchi (TV)']
animeCharacters	['Miniwa, Tsumiki', 'Otonashi, Io', 'Katase, Mayoi', 'Haruno, Hime', 'Inui, Sakaki', 'Sakimori, Saki', 'Saibara, Kyouya', 'Miyama, Kana']
animeVoices	['Ookubo, Rumi', 'Okamoto, Nobuhiko', 'Nabatame, Hitomi', 'Fukuhara, Kaori', 'Asanuma, Shintaro', 'Takamori, Natsumi', 'Yonaga, Tsubasa', 'Konno, Hiromi']
animeStaff	[['Tenkawa, Nobuhiko', 'Script, Series Composition'], ['Ishiki', 'Original Creator'], ['Kusama, Hideoki', 'Key Animation, Animation Director']]
