animeTitle	Gegege no Kitarou: Chisougan
animeType	Movie
animeNumEpisode	1
releaseDate	1980-07-12 00:00:00
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	238
animeRank	
animePopularity	11720
animeDescription	"An abbreviated 12 minute version of episode 37 from the 1971 TV anime. This was shown as part of the summer 1980 Toei Manga Matsuri and uses entirely recycled footage.

(Source: TSHS)"
animeRelated	['Gegege no Kitarou (1971)']
animeCharacters	['Kitarou', 'Medama Oyaji', 'Nezumi Otoko']
animeVoices	[]
animeStaff	[]
