animeTitle	b'Selector Spread WIXOSS'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	35814
animeRank	
animePopularity	
animeDescription	b'Get ready for the thrilling second season of the WIXOSS series! Immerse yourself in a game where special cards called LRIGs\xe2\x80\x94cards that possess personalities and wills of their own\xe2\x80\x94can change your life forever. Teenager Ruko holds one of these rare cards, and if she wins, her wish will be granted. But what happens if she loses?\n\n(Source: FUNimation)'
animeRelated	[b'Selector Infected WIXOSS', b'Selector Destructed WIXOSS Movie', b'Lostorage Incited WIXOSS']
animeCharacters	[b'Kominato, Ruuko', b'Aoi, Akira', b'Urazoe, Iona', b'Kurebayashi, Yuzuki', b'Uemura, Hitoe', b'Tama', b'Ulith', b'Eldora', b'Kurebayashi, Kazuki', b'Chiyori']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nKuno, Misaki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nKobayashi, Yuusuke\nJapanese\n', b'\nMorino, Mako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Takuya\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nTachibana, Hideki\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nKamoshida, Hajime\n\nScript\n\n']
