animeTitle	HenSemi
animeType	OVA
animeNumEpisode	2
releaseDate	2010-07-23 00:00:00
endDate	2011-03-23 00:00:00
animeNumMembers	
animeScore	6.51
animeUsers	10444
animeRank	
animePopularity	3502
animeDescription	"Matsutaka Nanako is a normal university student, who happened to enroll in an Abnormal Physiology seminar. She tries to keep her mental state sound, but other abnormal classmates start to influence her personality...

(Source: MU)"
animeRelated	['HenSemi', 'HenSemi (TV)']
animeCharacters	['Musashi, Komugi', 'Matsutaka, Nanako', 'Meshiya, Kenji', 'Gregory, Makiko', 'Mizukoshi, Miwako', 'Ichikawa, Hishiyasu', 'Katou, Anna', 'Yesterday, Taguchi']
animeVoices	['Ishida, Akira', 'Hanazawa, Kana', 'Matsuyama, Takashi', 'Kawaragi, Shiho', 'Takaguchi, Yukiko', 'Mori, Norihisa', 'Shintani, Ryouko', 'Shiraishi, Minoru']
animeStaff	[['Kamitsubo, Ryouki', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Suzuki, Toshimasa', 'Episode Director, Storyboard'], ['Haneoka, Kei', 'Music']]
