animeTitle	Saber Marionette R
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	3299
animeRank	
animePopularity	6004
animeDescription	"Jr., the heir of Romana and his battle sabers Cherry and Lime, who have girl circuits are enjoying their peaceful life in Romana. Suddenly, the evil Star-Face and his sexadolls attack Romana in order to take over so Star-Face can become the next High Official. In order to truly become the next High Official and ruler of Romana, he must first eliminate Jr. This begins a battle for, not only Jr.'s life, but for all of Romana.

(Source: ANN)"
animeRelated	['Saber Marionette J', 'SM Girls: Saber Marionette R', 'Saber Marionette J Again', 'Saber Marionette J to X']
animeCharacters	['Lime', 'Cherry', 'Bloodberry', 'Virey Junior', 'Sexadoll A', 'Brid', 'Virey', 'Announcer', 'Sexadoll B', 'Bureaucrat']
animeVoices	['Hayashibara, Megumi', 'Shiratori, Yuri', 'Hiramatsu, Akiko', 'Imai, Yuka', 'Kujira', 'Inoue, Kikuko', 'Ginga, Banjou', 'Takagi, Wataru', 'Naka, Tomoko', 'Matsumoto, Yasunori']
animeStaff	[['Masunari, Koji', 'Director'], ['Tsurumaki, Kazuya', 'Episode Director, Storyboard, Key Animation'], ['Hayashibara, Megumi', 'Theme Song Performance'], ['Hiramatsu, Akiko', 'Theme Song Performance']]
