animeTitle	High School DxD
animeType	TV
animeNumEpisode	12
releaseDate	2012-01-06 00:00:00
endDate	2012-03-23 00:00:00
animeNumMembers	1181209
animeScore	7.36
animeUsers	734973
animeRank	2117
animePopularity	78
animeDescription	"High school student Issei Hyoudou is your run-of-the-mill pervert who does nothing productive with his life, peeping on women and dreaming of having his own harem one day. Things seem to be looking up for Issei when a beautiful girl asks him out on a date, although she turns out to be a fallen angel who brutally kills him! However, he gets a second chance at life when beautiful senior student Rias Gremory, who is a top-class devil, revives him as her servant, recruiting Issei into the ranks of the school's Occult Research club.

Slowly adjusting to his new life, Issei must train and fight in order to survive in the violent world of angels and devils. Each new adventure leads to many hilarious (and risqué) moments with his new comrades, all the while keeping his new life a secret from his friends and family in High School DxD!

[Written by MAL Rewrite]"
animeRelated	['High School DxD', 'High School DxD OVA', 'High School DxD Specials']
animeCharacters	['Gremory, Rias', 'Himejima, Akeno', 'Hyoudou, Issei', 'Toujou, Koneko', 'Argento, Asia', 'Kiba, Yuuto', 'Phenex, Ravel', 'Ddraig', 'Lucifer, Sirzechs', 'Raynare']
animeVoices	['Hikasa, Youko', 'Itou, Shizuka', 'Kaji, Yuki', 'Taketatsu, Ayana', 'Asakura, Azumi', 'Nojima, Kenji', 'Nishi, Asuka', 'Tachiki, Fumihiko', 'Suwabe, Junichi', 'Nabatame, Hitomi']
animeStaff	[['Yanagisawa, Tetsuya', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Suzuki, Norimitsu', 'Episode Director, Storyboard, Key Animation'], ['Kobayashi, Kousuke', 'Episode Director']]
