animeTitle	Busou Shinki Moon Angel
animeType	ONA
animeNumEpisode	10
releaseDate	2011-09-07 00:00:00
endDate	2012-01-26 00:00:00
animeNumMembers	12290
animeScore	6.58
animeUsers	4966
animeRank	5689
animePopularity	4885
animeDescription	"The story follows the coming of age and Shinki battles of Tsubasa, a boy who dreams of becoming a Shinki Master, and his Shinki partner Arnval Mk. 2.

(Source: ANN)"
animeRelated	['Busou Shinki']
animeCharacters	['Arnval Mk.2', 'Strarf Mk.2', 'Tsubasa', 'Zelnogrard', 'Athena', 'Ken']
animeVoices	['Asumi, Kana', 'Chihara, Minori', 'Inoue, Marina', 'Shiraishi, Ryouko', 'Sugita, Tomokazu']
animeStaff	[['Fukuda, Mitsuo', 'Producer, Storyboard'], ['Kojima, Masayuki', 'Director'], ['Shigeta, Satoshi', 'Director, Key Animation'], ['Tanaka, Kazuya', 'Sound Director']]
