animeTitle	Bouei Honou / Evidence
animeType	Music
animeNumEpisode	2
releaseDate	2011-04-20 00:00:00
endDate	
animeNumMembers	1330
animeScore	5.56
animeUsers	741
animeRank	10173
animePopularity	10430
animeDescription	"Second single release from Daisy x Daisy featuring intro theme of anime series Fairy Tail. Includes illustrations and a DVD with music video of ""Boei Honno"".

(Source: cdjapan.co.jp)"
animeRelated	['Fairy Tail']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
