animeTitle	Tono to Issho
animeType	OVA
animeNumEpisode	1
releaseDate	2010-03-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	1751
animeRank	
animePopularity	7852
animeDescription	Comedy parodying famous samurai generals and historical events.
animeRelated	['Tono to Issho', 'Tono to Issho: Ippunkan Gekijou', 'Tono to Issho: Gantai no Yabou', 'Tono to Issho 1.5']
animeCharacters	['Date, Masamune', 'Uesugi, Kenshin', 'Oda, Nobunaga', 'Chousokabe, Motochika', 'Azai, Nagamasa', 'Oichi', 'Naoe, Kanetsugu', 'Takeda, Shingen', 'Akechi, Mitsuhide', 'Mori, Ranmaru']
animeVoices	['Suzuki, Tatsuhisa', 'GACKT', 'Kuroda, Takaya', 'Noto, Mamiko', 'Tachibana, Shinnosuke', 'Nagasako, Takashi', 'Hirakawa, Daisuke', 'Kobayashi, Yuu']
animeStaff	[['Mankyuu', 'Director']]
