animeTitle	Ikkitousen: Shuugaku Toushi Keppuuroku
animeType	OVA
animeNumEpisode	1
releaseDate	2011-11-12 00:00:00
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	5633
animeRank	
animePopularity	4404
animeDescription	Ikkitousen OVA.
animeRelated	['Ikkitousen: Xtreme Xecutor', 'Ikkitousen: Extravaganza Epoch']
animeCharacters	"[""Kan'u, Unchou"", 'Ryomou, Shimei', 'Sonsaku, Hakufu', ""Chou'un, Shiryuu"", 'Shuuyu, Koukin', 'Ryuubi, Gentoku', 'Kakouen, Myousai', 'Kakouton, Genjou', 'Sousou, Moutoku', 'Chouhi, Ekitoku']"
animeVoices	['Nabatame, Hitomi', 'Kaida, Yuuko', 'Asano, Masumi', 'Asakawa, Yuu', 'Hino, Satoshi', 'Shindou, Kei', 'Kitamura, Eri', 'Sakaguchi, Shuuhei', 'Akagi, Susumu', 'Chihara, Minori']
animeStaff	[['Shimizu, Katsunori', 'Sound Director'], ['Fukunaga, Gen', 'Executive Producer'], ['Kurata, Hideyuki', 'Screenplay'], ['Rinshin', 'Character Design']]
