animeTitle	b'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	8.24
animeUsers	552782
animeRank	
animePopularity	
animeDescription	"b""Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku picks up immediately after the events of the first season, continuing the adventures of the Volunteer Service Club\xe2\x80\x94the dispassionate Hachiman Hikigaya, the cheerful Yui Yuigahama, and the competitive Yukino Yukinoshita\xe2\x80\x94as it dedicates itself to helping any student with issues that they may face.\n\nWith the rift among his own group widening, Hachiman begins to realize that his knack for quickly getting to the root of other people's troubles is a double-edged sword: sometimes the best solution is not necessarily the most appropriate one.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', b'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA', b'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan']
animeCharacters	[b'Hikigaya, Hachiman', b'Yukinoshita, Yukino', b'Yuigahama, Yui', b'Isshiki, Iroha', b'Hiratsuka, Shizuka', b'Totsuka, Saika', b'Hikigaya, Komachi', b'Kawasaki, Saki', b'Yukinoshita, Haruno', b'Hayama, Hayato']
animeVoices	[b'\nEguchi, Takuya\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nKondou, Takashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOikawa, Kei\n\nDirector, Episode Director, Storyboard\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nHayami, Saori\n\nTheme Song Performance\n\n', b'\nTouyama, Nao\n\nTheme Song Performance\n\n']
