animeTitle	Henkei Shoujo
animeType	ONA
animeNumEpisode	5
releaseDate	2017-03-26 00:00:00
endDate	2017-10-24 00:00:00
animeNumMembers	22611
animeScore	5.7
animeUsers	9218
animeRank	9741
animePopularity	3797
animeDescription	Shorts about girls who transform into machines. The first episode focuses on Haru, a girl who transforms into a fighter jet while trying to catch a hat blowing away in the wind.
animeRelated	['Henkei Shoujo: School☆Days']
animeCharacters	['Rin', 'Itsuki', 'Nana', 'Arisa', 'Haru', 'Hiromi']
animeVoices	['Enako', 'Hanazawa, Kana', 'Aoi, Sola', 'Michishige, Sayumi', 'Ichimichi, Mao']
animeStaff	[['Satie, Erik', 'Music']]
