animeTitle	b'Broadcast by Bibby'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Web series by Densuke28 following the life of fictional personality Bibby. The short clips are posted to the character's Instagram, Twitter, and YouTube channels."""
animeRelated	[]
animeCharacters	[b'Bibby']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nDensuke28\n\nDirector\n\n']
