animeTitle	Dorei Kaigo
animeType	OVA
animeNumEpisode	3
releaseDate	2003-01-24 00:00:00
endDate	2003-07-25 00:00:00
animeNumMembers	3839
animeScore	6.15
animeUsers	1371
animeRank	
animePopularity	7741
animeDescription	There is a strange epidemic running rampant at the local inpatient hospital. For some reason every night the nurses are feeling an uncontrollable urge. They have no choice but to satisfy it with the patients, the doctors, and even each other. The new resident doctor has his own itch to scratch, as well as a suspicion that someone is behind this impromptu sex ring.
animeRelated	[]
animeCharacters	['Kawahara, Yousuke', 'Kamimura, Natsuki', 'Nakajo, Saeko ', 'Haruka', 'Eri', 'Aida', 'Mikuru', 'Tomii', 'Kiba']
animeVoices	[]
animeStaff	[['Okuno, Haruo', 'Key Animation'], ['Katsumata, Aiko', 'Background Art'], ['Mutou, Kazuhiro', 'Key Animation'], ['Shura, Tooru', 'Music']]
