animeTitle	Imouto Bitch ni Shiboraretai
animeType	OVA
animeNumEpisode	2
releaseDate	2017-10-06 00:00:00
endDate	2017-11-03 00:00:00
animeNumMembers	
animeScore	7.1
animeUsers	8287
animeRank	
animePopularity	4204
animeDescription	"When he goes to a mixer his friend set up, he is surprised to find his sister, Mina! They continue with the mixer, hiding the fact that they are siblings; however, when the King's game starts, the dares are all sexual! Showing tits, showing panties, Pocky game, and even showing off masturbation! Mina can't take it anymore after being covered in her brother's semen, and...

(Source: Hanime)"
animeRelated	['JK Bitch ni Shiboraretai']
animeCharacters	['Mina', 'Sayaka']
animeVoices	['Hyo-sei', 'Kobayashi, Mii']
animeStaff	[['Raika, Ken', 'Director'], ['Shinkai, Kouki', 'Editing']]
