animeTitle	Mahoutsukai no Yome Recap
animeType	Special
animeNumEpisode	1
releaseDate	2017-12-31 00:00:00
endDate	
animeNumMembers	12672
animeScore	7.24
animeUsers	3677
animeRank	2697
animePopularity	4829
animeDescription	Recap of the first 12 episodes of Mahoutsukai no Yome.
animeRelated	['Mahoutsukai no Yome']
animeCharacters	['Hatori, Chise', 'Ainsworth, Elias']
animeVoices	[]
animeStaff	[['Wada, Jouji', 'Producer, Planning'], ['Yamazaki, Kore', 'Original Creator']]
