animeTitle	Committed Red
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	253
animeRank	
animePopularity	13274
animeDescription	"A music video for T.M.Revolution's song ""Committed RED"".

The concept of the video is ""the song of a man who crosses through the ages and fights"" and was animated as a work about ""a man who continues his journey of fighting even though he hesitatingly hurts others, and even though society and a normal everyday life have tossed him away.""

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
