animeTitle	Maison Ikkoku: Kanketsu-hen
animeType	Movie
animeNumEpisode	1
releaseDate	1988-02-06 00:00:00
endDate	
animeNumMembers	6048
animeScore	7.21
animeUsers	2741
animeRank	2864
animePopularity	6475
animeDescription	"The Maison Ikkoku tennants throw a party to celebrate the marriage of Yuusaku and Kyouko. However, during the party Yuusaku hears that Kyouko is waiting for a letter. He becomes jealous and begins to doubt Kyouko, worrying that she still loves someone else. When the morning arrives, the answer to his worries is revealed...

(Source: AniDB)"
animeRelated	['Maison Ikkoku']
animeCharacters	['Otonashi, Kyouko', 'Godai, Yuusaku', 'Yotsuya', 'Roppongi, Akemi', 'Ichinose, Hanae', 'Mitaka, Shun', 'Souichirou', 'Yagami, Ibuki', 'Kujou, Asuna', 'Nikaido, Nozomu']
animeVoices	['Shimamoto, Sumi', 'Futamata, Issei', 'Chiba, Shigeru', 'Mita, Yuuko', 'Aoki, Kazuyo', 'Kamiya, Akira', 'Fuchizaki, Yuriko', 'Tsuru, Hiromi', 'Horikawa, Ryo']
animeStaff	[['Mochizuki, Tomomi', 'Director, Script'], ['Shimada, Michiru', 'Script'], ['Hagita, Mitsuo', 'Theme Song Arrangement'], ['Takahashi, Rumiko', 'Original Creator']]
