animeTitle	Shukufuku no Campanella: La Campanella Della Benedizione
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	2486
animeRank	
animePopularity	6661
animeDescription	"The story takes place in a trading city Eta'Aria. Leicester Maycraft is an item engineer belonging to an adventurer guild ""Oasis"". One night, he is at a party with his friends to see a meteor stream on the rooftop of a chapel.

(Source: ANN)"
animeRelated	['Shukufuku no Campanella']
animeCharacters	['Boulange, Agnes', 'Tortilla, Ritos', 'Arcot, Chelsea', 'Maycraft, Leicester', 'Verritti, Carina', 'Golem', 'Roland, Aberdeen', 'Maycraft, Shelley', 'Minette', 'Tortilla, Salsa']
animeVoices	['Mizuhashi, Kaori', 'Gotou, Mai', 'Imai, Asami', 'Okamoto, Nobuhiko', 'Koyama, Kimiko', 'Yasumoto, Hiroki', 'Sugiyama, Noriaki', 'Takano, Naoko', 'Kadowaki, Mai', 'Yunohara, Ari']
animeStaff	[['Enomoto, Takahiro', 'Sound Director'], ['Elements Garden', 'Music'], ['Tokiwa, Kentarou', 'Key Animation'], ['Fujita, Mariko', 'Character Design']]
