animeTitle	Saint Seiya
animeType	TV
animeNumEpisode	114
releaseDate	1986-10-11 00:00:00
endDate	1989-04-01 00:00:00
animeNumMembers	
animeScore	7.75
animeUsers	83099
animeRank	
animePopularity	1097
animeDescription	"In ancient times, a group of young men devoted their lives to protecting Athena, the Goddess of Wisdom and War. These men were capable of fighting without weapons—a swing of their fist alone was powerful enough to rip the very sky apart and shatter the earth beneath them. These brave heroes became known as Saints, as they could summon up the power of the Cosmos from within themselves.

Now, in present day, a new generation of Saints is about to come forth. The young and spirited Seiya is fighting a tough battle for the Sacred Armor of Pegasus, and he isn't about to let anyone get in the way of him and his prize. Six years of hard work and training pay off with his victory and new title as one of Athena's Saints.

But Seiya's endeavor doesn't end there. In fact, plenty of perils and dangerous enemies face him and the rest of the Saints throughout the series. What new quests await the heroes of the epic Saint Seiya saga?"
animeRelated	['Saint Seiya', 'Saint Seiya: Shinku no Shounen Densetsu', 'Saint Seiya: Jashin Eris', 'Saint Seiya: Kamigami no Atsuki Tatakai', 'Saint Seiya: Saishuu Seisen no Senshi-tachi', 'Saint Seiya: Soul of Gold', 'Saint Seiya: Meiou Hades Juuni Kyuu-hen', 'Saint Seiya Recap', 'Saint Seiya: The Lost Canvas - Meiou Shinwa', 'Saint Seiya: Legend of Sanctuary', 'Knights of the Zodiac: Saint Seiya']
animeCharacters	['Phoenix, Ikki', 'Dragon, Shiryuu', 'Pegasus, Seiya', 'Andromeda, Shun', 'Cygnus, Hyouga', 'Kido, Saori', 'Virgo, Shaka', 'Gemini, Saga', 'Aquarius, Camus', 'Aries, Muu']
animeVoices	['Hori, Hideyuki', 'Suzuoki, Hirotaka', 'Furuya, Toru', 'Touma, Yumi', 'Han, Keiko', 'Mitsuya, Yuuji', 'Sogabe, Kazuyuki', 'Naya, Rokurou', 'Shiozawa, Kaneto']
animeStaff	[['Yokoyama, Kazuo', 'Producer'], ['Kikuchi, Yasuhito', 'Director'], ['Morishita, Kouzou', 'Director, Episode Director, Storyboard'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard']]
