animeTitle	Duel Masters VSR
animeType	TV
animeNumEpisode	51
releaseDate	2015-04-05 00:00:00
endDate	2016-03-27 00:00:00
animeNumMembers	1113
animeScore	5.59
animeUsers	183
animeRank	10108
animePopularity	10869
animeDescription	"A next fierce fight is about to begin after Katta Kirifuda finally become the Duel Masters National Tournament champion.

Japan's largest theme park, Duel Masters Land has appeared. With numerous fun attractions and events, Katta was also having fun.

However, after meeting the mascot of the park, ""Duemouse"", Katta got involved in a ridiculous conspiracy of the park.

A shadow that invades the Duel Masters World, which is the mysterious team of duelists! The mysterious identity of the legendary card is to be revealed. A new stage and revolution of Duel Masters befalls Katta!

(Source: Duel Masters Wikia)"
animeRelated	['Duel Masters VS', 'Duel Masters VSRF', 'Duel Masters: Hamukatsu to Dogiragon no Curry-pan Daibouken']
animeCharacters	['Okabe, Tarou', 'Takigawa, Ruru', 'Kirifuda, Katta', 'Buke, Chatarou', 'Waramaki', 'Duemouse', 'Ochanomizu, Hiroshi', 'Lucifer', 'Akagiyama, Basara']
animeVoices	['Sugawara, Masayoshi', 'Tange, Sakura', 'Kobayashi, Yumiko', 'Ishino, Ryuuzou', 'Ishida, Akira', 'Kobayashi, Yuu', 'Sugiyama, Noriaki', 'Mizusawa, Fumie', 'Fukushima, Jun']
animeStaff	[['Sasaki, Shinobu', 'Director'], ['Itou, Fumio', 'Episode Director'], ['Pile', 'Theme Song Performance'], ['An Cafe', 'Theme Song Performance']]
