animeTitle	Luger Code 1951
animeType	ONA
animeNumEpisode	1
releaseDate	2016-10-15 00:00:00
endDate	
animeNumMembers	20461
animeScore	6.44
animeUsers	7483
animeRank	6460
animePopularity	3955
animeDescription	"The story follows a young genius university professor who is able to learn any language. He is asked to decipher a code used in wireless communication: the Luger Code, developed by werewolves, enemies to mankind. Startled to find that he cannot decipher the code and desperate to study it, the professor embarks on a journey to capture a living werewolf to aid him.

(Source: LiveChart)"
animeRelated	['Luger Code 1951']
animeCharacters	['Yonaga', 'Lielbelle, Testa', 'Rossa, Alex']
animeVoices	['Tadokoro, Azusa', 'Watanabe, Keaki', 'Eguchi, Takuya']
animeStaff	[['Takahashi, Shinya', 'Director'], ['Takayama, Katsuhiko', 'Script'], ['Akatsuki, Akira', 'Original Character Design'], ['Kawasaki, Ryou', 'Music']]
