animeTitle	b'Asylum Session'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.0
animeUsers	950
animeRank	
animePopularity	
animeDescription	"b'The story takes place in the far future, when the civilization has declined. Hiyoko is a high school girl, who aims to enter an art university. She runs away from her home because her father tried to throw away her mother\'s keepsake drawings. She finds a slum located in a stadium and meets the leader of the street children, Akira.\n\nThe police attempts to demolish the stadium for the beautification of the city. In order to resist the demolition, the people in the stadium plans to hold a street-art event ""The Asylum Session"". Hiroko takes the charge of a giant painting on the stadium.'"
animeRelated	[]
animeCharacters	[b'Jin', b'Myonhi', b'Takayama', b'Teshigawara', b'Sheena', b'Mizusaki', b'Kobayashi', b'Osamu', b'Akira', b'Kurata']
animeVoices	[b'\nKaneko, Harii\nJapanese\n', b'\nAihashi, Aiko\nJapanese\n', b'\nIwasaki, Masami\nJapanese\n', b'\nHasu, Takehiro\nJapanese\n', b'\nKanada, Aki\nJapanese\n', b'\nMaeda, Takeshi\nJapanese\n', b'\nShimozaki, Hiroshi\nJapanese\n', b'\nKousaka, Atsushi\nJapanese\n', b'\nNemoto, Masakazu\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAoki, Tact\n\nDirector, Creator, Music\n\n']
