animeTitle	Maria-sama ga Miteru: Haru Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	3661
animeRank	
animePopularity	5837
animeDescription	Specials of Maria-sama ga Miteru: Haru released on the DVDs only.
animeRelated	['Maria-sama ga Miteru: Haru']
animeCharacters	['Ogasawara, Sachiko', 'Fukuzawa, Yumi', 'Toudou, Shimako', 'Shimazu, Yoshino', 'Mizuno, Youko', 'Hasekura, Rei', 'Torii, Eriko', 'Satou, Sei', 'Matsudaira, Touko', 'Nijou, Noriko']
animeVoices	['Ueda, Kana', 'Noto, Mamiko', 'Ikezawa, Haruna', 'Shinohara, Emi', 'Itou, Shizuka', 'Nabatame, Hitomi', 'Toyoguchi, Megumi', 'Kugimiya, Rie', 'Shimizu, Kaori']
animeStaff	[['Matsushita, Yukihiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hibiki, Reine', 'Original Character Design']]
