animeTitle	Bakunyuu Maid Kari
animeType	OVA
animeNumEpisode	2
releaseDate	2009-04-24 00:00:00
endDate	2009-07-24 00:00:00
animeNumMembers	4757
animeScore	6.25
animeUsers	1547
animeRank	
animePopularity	7135
animeDescription	"Miwako Shirasaki is hired by her schoolmate Ai to work by her side at a maid cafe.
But none of them know that somewhere in Akihabara an underground organisation called ""Maid masters"" abduct young waitresses to confine and rape them..."
animeRelated	['Bakunyuu Maid Kari']
animeCharacters	['Shirasaki, Miwako', 'Segawa', 'Arsen, Asuna', 'Ai, Miori', 'Koya', 'Reisa']
animeVoices	[]
animeStaff	[['Tominaga, Tsuneo', 'Episode Director, Storyboard'], ['Yoshiten', 'Character Design, Key Animation, Animation Director'], ['Mogudan', 'Original Creator'], ['Hifumi', 'Art Director']]
