animeTitle	Winner
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14898
animeDescription	In an athletic meet, an awkward boy tries his best to excel in a field he is not good at. He realizes that what is important is not winning or losing. It is  refusing to be discouraged or running away from a challenge no matter how many times he fails. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
