animeTitle	Sprite: Between Two Worlds
animeType	OVA
animeNumEpisode	2
releaseDate	1997-04-21 00:00:00
endDate	1997-08-08 00:00:00
animeNumMembers	
animeScore	5.72
animeUsers	722
animeRank	
animePopularity	9272
animeDescription	"Lately, shy Manami has been flirting outrageously and sparking vicious cat-fights! Afterwards, she remembers nothing. Can it be that another personality seethes beneath her own? A wild woman who’ll do anything to find trouble?

(Source: AniDB)"
animeRelated	['Sprite']
animeCharacters	"['Sakumoto, Manami', 'Takamura, Tooru', ""Manami's Mother"", 'Masaya', 'Ogata, Chiaki']"
animeVoices	['Sugimoto, Yuu', 'Iwanaga, Tetsuya', 'Miki, Shinichiro', 'Okamoto, Maya']
animeStaff	[['Takahashi, Hideo', 'Sound Director'], ['Hirose, Yoshinori', 'Art Director'], ['Arimura, Shinobu', 'Original Creator']]
