animeTitle	Cencoroll Connect
animeType	Movie
animeNumEpisode	1
releaseDate	2019-06-29 00:00:00
endDate	
animeNumMembers	32906
animeScore	7.24
animeUsers	4947
animeRank	2679
animePopularity	3155
animeDescription	The sequel to Cencoroll.
animeRelated	['Cencoroll', 'Cencoroll 3']
animeCharacters	['Amamiya, Tetsu', 'Cenco', 'Yuki', 'Shuu', 'Gotouda', 'Kaname']
animeVoices	['Shimono, Hiro', 'Hanazawa, Kana', 'Kimura, Ryouhei', 'Akabane, Kenji', 'Takamori, Natsumi']
animeStaff	[['Uki, Atsuya', 'Director, Creator'], ['supercell', 'Theme Song Performance, Inserted Song Performance'], ['Yanagi, Nagi', 'Theme Song Performance'], ['gaku', 'Theme Song Performance']]
