animeTitle	Appleseed XIII
animeType	OVA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	3172
animeRank	
animePopularity	4734
animeDescription	"After facing massive destruction from a devastating war, the city Olympus has become the last stronghold as the center of command for the world. In order to protect the city from a group of terrorists known as the Argonauts, former LAPD SWAT member, Deunan Knotts, runs special military forces consisting of Biroids (cloned humans) and her cyborg partner Brialeos. Knotts must protect the city at all costs but is met with difficulties when Al Ceides, the Argonaut leader thought to be dead, resurfaces and causes problems. 

(Source: FUNimation) "
animeRelated	['Appleseed XIII', 'Appleseed (Movie)', 'Appleseed', 'Appleseed Alpha', 'Appleseed XIII Remix Movie 1: Yuigon', 'Appleseed XIII Remix Movie 2: Yogen']
animeCharacters	['Knute, Deunan', 'Briareos', 'Areios, Athena', 'Hitomi', 'Chades, Deia', 'Nike', 'Magus', 'Baxter', 'Lance', 'Yoshitsune']
animeVoices	['Sakamoto, Maaya', 'Yamadera, Kouichi', 'Tamagawa, Sakiko', 'Takahashi, Mikako', 'Shindo, Naomi', 'Yanagisawa, Mayumi', 'Nakata, Jouji', 'Sugawara, Masashi', 'Uchida, Naoya', 'Shimono, Hiro']
animeStaff	[['Morishita, Katsuji', 'Producer'], ['Hamana, Takayuki', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Umehara, Eiji', 'Script']]
