animeTitle	Panty & Stocking with Garterbelt
animeType	TV
animeNumEpisode	13
releaseDate	2010-10-02 00:00:00
endDate	2010-12-25 00:00:00
animeNumMembers	324565
animeScore	7.72
animeUsers	158386
animeRank	1021
animePopularity	522
animeDescription	"The ""Anarchy Sisters,"" Panty and Stocking, have been kicked out of Heaven for, to put it mildly, misbehaving. Led by a priest named Garterbelt, these angels must buy their way back by exterminating ghosts in Daten City. But this task requires unconventional weapons for these unorthodox angels—they transform their lingerie into weapons to dispatch the spirits. Unfortunately, neither of them take their duties seriously, as they rather spend their time in pursuit of other ""hobbies"": Panty prefers to sleep with anything that walks, and Stocking favors stuffing her face with sweets than hunting ghosts.

Follow these two unruly angels as they battle ghosts, an overflow of bodily fluids, and their own tendency to get side-tracked in Panty & Stocking with Garterbelt.

[Written by MAL Rewrite]"
animeRelated	['Panty & Stocking with Garterbelt', 'Panty & Stocking in Sanitarybox']
animeCharacters	['Anarchy, Stocking', 'Anarchy, Panty', 'Rock, Briefers', 'Garterbelt', 'Demon, Kneesocks', 'Demon, Scanty', 'Chuck', 'Vomit Monster', 'Mr. Husband Petter', 'Crazy Crazy Cabbie']
animeVoices	['Ise, Mariya', 'Ogasawara, Arisa', 'Yoshino, Hiroyuki', 'Ishii, Kouji', 'Fujimura, Ayumi', 'Komatsu, Yuka', 'Nakamura, Takashi', 'Iwata, Mitsuo']
animeStaff	[['Wakabayashi, Hiromi', 'Producer, Episode Director, Script, Planning Producer'], ['Sasaki, Shirou', 'Producer'], ['Imaishi, Hiroyuki', 'Director, Episode Director, Script, Storyboard, 2nd Key Animation, Key Animation'], ['Iwanami, Yoshikazu', 'Sound Director']]
