animeTitle	Saenai Heroine no Sodatekata
animeType	TV
animeNumEpisode	12
releaseDate	2015-01-16 00:00:00
endDate	2015-03-27 00:00:00
animeNumMembers	537700
animeScore	7.51
animeUsers	251935
animeRank	1585
animePopularity	297
animeDescription	"Tomoya Aki, an otaku, has been obsessed with collecting anime and light novels for years, attaching himself to various series with captivating stories and characters. Now, he wants to have a chance of providing the same experience for others by creating his own game, but unfortunately, Tomoya cannot do this task by himself.

He successfully recruits childhood friend Eriri Spencer Sawamura to illustrate and literary elitist Utaha Kasumigaoka to write the script for his visual novel, while he directs. Super-group now in hand, Tomoya only needs an inspiration to base his project on, and luckily meets the beautiful, docile Megumi Katou, who he then models his main character after.

Using what knowledge he has, Tomoya creates a new doujin circle with hopes to touch the hearts of those who play their game. What he does not realize, is that to invoke these emotions, the creators have had to experience the same feelings in their own lives.

[Written by MAL Rewrite]"
animeRelated	['Saenai Heroine no Sodatekata', 'Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai', 'Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai']
animeCharacters	['Katou, Megumi', 'Kasumigaoka, Utaha', 'Sawamura, Eriri Spencer', 'Aki, Tomoya', 'Hyoudou, Michiru', 'Hashima, Izumi', 'Hashima, Iori', 'Kamigou, Yoshihiko', 'Mizuhara, Echika', 'Satomi, Azusa']
animeVoices	['Yasuno, Kiyono', 'Kayano, Ai', 'Oonishi, Saori', 'Matsuoka, Yoshitsugu', 'Yahagi, Sayuri', 'Akasaki, Chinatsu', 'Kakihara, Tetsuya', 'Uchida, Yuuma', 'Tanabe, Rui', 'Okuno, Kaya']
animeStaff	[['Kamei, Kanta', 'Director'], ['Fujita, Akiko', 'Sound Director'], ['Ogawa, Yuuki', 'Episode Director, Key Animation, 2nd Key Animation'], ['Maruto, Fumiaki', 'Script, Original Creator, Series Composition']]
