animeTitle	Tayutayu: Pure My Heart
animeType	Special
animeNumEpisode	6
releaseDate	2009-06-25 00:00:00
endDate	2009-11-25 00:00:00
animeNumMembers	
animeScore	6.38
animeUsers	2624
animeRank	
animePopularity	5986
animeDescription	Special Tayutama -Kiss on my Deity- episodes added to DVDs and Blu-rays.
animeRelated	['Tayutama: Kiss on My Deity']
animeCharacters	['Mito, Mashiro', 'Kawai, Ameri', 'Kisaragi, Mifuyu', 'Takanashi, Yumina', 'Mito, Yuuri', 'Nue', 'Azrael', 'Mito, Yuudou', 'Hou-ou', 'Kaname, Sankurou']
animeVoices	['Rikimaru, Noriko', 'Shimoda, Asami', 'Itou, Shizuka', 'Mizuhashi, Kaori', 'Hino, Satoshi', 'Nakagawa, Rie', 'Wakamoto, Norio', 'Ichiki, Mitsuhiro', 'Okiayu, Ryoutarou']
animeStaff	[['Ogawara, Haruo', 'Character Design']]
