animeTitle	Mikagura Tanteidan
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	548
animeRank	
animePopularity	9510
animeDescription	"* Based on a game by ELF

It was Taisho era. Mikagura Tokito was the director of a detective agency, which has solved a lot of cases. One day he disappeared involved in an accident.Tomoe, Shigeno, and Chizuru, who adored him, got anxious about him. Hearing that Shigeno's elder brother had seen him at a church in a foreign country, so they travelled there hoping to meet him again.

However, it was a dead body of a priest in a church which they found there. Furthermore, they found his arms had been cut off from his body. Because they thought his death had something to do with Tokito's disappearance, they would investigate the case. Suddenly they were attacked by men. Being involved in danger, they tried to find Tokito but will they find him?

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Higaki, Chizuru']
animeVoices	[]
animeStaff	[['Tokoro, Toshikatsu', 'Director'], ['ELF Corporation', 'Original Creator'], ['Miyamae, Mitsuharu', 'Art Director'], ['Honda, Osamu', 'Background Art']]
