animeTitle	b'Bit the Cupid'
animeType	b'TV'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Comedy about a character who shoots arrows that cause pairs of people to fall madly in love and float about in an ecstasy of emotion.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Bit', b'Iris', b'Athena', b'Perseus', b'Artemis', b'Demeter', b'Hephaestus', b'Twinka', b'Hera', b'Hermes']
animeVoices	[b'\nFuchizaki, Yuriko\nJapanese\n', b'\nNakajima, Chisato\nJapanese\n', b'\nKawasaki, Eriko\nJapanese\n', b'\nSato, Yuki\nJapanese\n', b'\nAraki, Kae\nJapanese\n', b'\nMine, Atsuko\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n', b'\nNishimura, Chinami\nJapanese\n', b'\nYokoo, Mari\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Takashi\n\nProducer\n\n', b'\nIshiyama, Takaaki\n\nEpisode Director, Storyboard\n\n', b'\nKagawa, Yutaka\n\nEpisode Director, Storyboard\n\n', b'\nBaba, Toshiko\n\nAnimation Director\n\n']
