animeTitle	Cosmo Warrior Zero
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	1632
animeRank	
animePopularity	7111
animeDescription	"The long war between the planet Earth and the machine men is finally over, resulting in a peace that is more a victory for the machine men than the Earth. Warrius Zero lost his family in the war to the machine men but despite this he is still is a member of the Earth fleet that is now working in concert with the machine men. His ship, made up of both humans and machine men, has been given a near impossible task: capture the space pirate Captain Harlock. While Zero struggles to accomplish this task, evidence begins to surface that the peace between machine men and Earth may not be as it seems...

(Source: ANN)"
animeRelated	['Uchuu Kaizoku Captain Herlock', 'Young Herlock wo Oe! Cosmo Warrior Zero Gaiden']
animeCharacters	['Zero, Warrius', 'Oki, Marina', 'Captain Herlock', 'Maetel', 'Emeraldas', 'Ooyama, Tochirou', 'Yattaran', 'Silviana']
animeVoices	['Morikawa, Toshiyuki', 'Hisakawa, Aya', 'Takemoto, Eiji', 'Yukino, Satsuki', 'Inoue, Kikuko', 'Nishimura, Tomohiro', 'Matsumoto, Yoshirou', 'Kawana, Midori']
animeStaff	[['Hayase, Hiroyuki', 'Sound Director'], ['Imazaki, Itsuki', 'Episode Director, Storyboard'], ['Teramoto, Yukiyo', 'Episode Director, Storyboard'], ['Ozeki, Masayuki', 'Episode Director']]
