animeTitle	Karasu no Puuta
animeType	TV
animeNumEpisode	2
releaseDate	1995-06-09 00:00:00
endDate	1995-10-02 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16711
animeDescription	An anime aimed at kindergarteners for the sole purpose of teaching how eating different things make you poop differently and how to maintain a regular digestive schedule (so as to avoid constipation or diarrhea).
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
