animeTitle	b'Tantei Opera Milky Holmes: Arsene Karei naru Yokubou'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	550
animeRank	
animePopularity	
animeDescription	b'The Phantom Thief Ars\xc3\xa8ne is undeniably powerful. If she wishes for it, she could steal any treasure she wants without being caught or arrested. However, she pulls her punches because she desires that Milky Holmes achieve their full potential as detectives\xe2\x80\x94and then to battle them without holding anything back. To achieve this, she tries every trick up her sleeve to create various situations for them to face each other\xe2\x80\x94avoiding any hindrances that may come her way!\n\n[Written by MAL Rewrite]'
animeRelated	[b'Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes', b'Tantei Opera Milky Holmes: Psycho no Aisatsu']
animeCharacters	[b'Shellingford, Sherlock', b'Burton, Hercule', b'Glauca, Cordelia', b'Mystere, Henriette', b'Yuzurizaki, Nero', b'Akechi, Kokoro', b'Nijuuri, Kai', b'Tooyama, Saku', b'Nezu, Jirou', b'Myoujingawa, Alice']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Hiroaki\n\nDirector\n\n', b'\nOokubo, Masao\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nMilky Holmes\n\nTheme Song Performance\n\n', b'\nNumata, Seiya\n\nCharacter Design\n\n']
