animeTitle	b'Uchuu Show e Youkoso'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	7614
animeRank	
animePopularity	
animeDescription	"b'Five elementary school children are spending their summer break camping at a remote mountain village. While on a hunt for their missing rabbit, Pyon-kichi, they find an injured dog in a field with crop circles. After nursing the dog back to health, they are shocked when he suddenly speaks and introduces himself as Pochi Rickman\xe2\x80\x94an alien researcher who has been on Earth researching its plant life.\n\nAs thanks for saving his life, Pochi offers to take the children to the moon on a sightseeing trip. When they arrive, the group quickly discovers that the moon hides a vast alien metropolis which they begin to gleefully explore. Unfortunately, after hearing that Pochi was severely injured on his mission, the government of the moon issues a travel sanction on Earth, preventing the children from returning home. \n\nLeft with no other choice, the group journeys around the galaxy in search of a way to safely return to Earth. Amidst their adventure, they are pursued by aliens affiliated with ""The Space Show,"" the universe\'s most-watched production shrouded in mystery.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Uchuu Show e Youkoso']
animeCharacters	[b'Rickman, Pochi', b'Suzuki, Amane', b'Satou, Kiyoshi', b'Harada, Kouji', b'Koyama, Natsuki', b'Nishimura, Noriko', b'Ink', b'Goba', b'Nishimura, Hiroto', b'Mary']
animeVoices	[b'\nFujiwara, Keiji\nJapanese\n', b'\nIkezuki, Honoka\nJapanese\n', b'\nUzawa, Shoutarou\nJapanese\n', b'\nYoshinaga, Takuto\nJapanese\n', b'\nKurosawa, Tomoyo\nJapanese\n', b'\nMatsumoto, Tamaki\nJapanese\n', b'\nIino, Mayu\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nHayashi, Roi\nJapanese\n', b'\nIgarashi, Rei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nOchikoshi, Tomonori\n\nProducer\n\n', b'\nYuasa, Masaaki\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nMasunari, Koji\n\nDirector, Storyboard\n\n']
