animeTitle	Honoo no Alpenrose
animeType	OVA
animeNumEpisode	2
releaseDate	1986-02-15 00:00:00
endDate	1986-03-31 00:00:00
animeNumMembers	
animeScore	6.05
animeUsers	177
animeRank	
animePopularity	12122
animeDescription	"Two-part OVA that summarises the entire Honoo no Alpenrose TV series featuring a new dubbing and reworked scenes.

(Source: AniDB)"
animeRelated	['Alpen Rose', 'Honoo no Alpenrose: Judy & Randy', 'Honoo no Alpenrose: Sweet Memory Ongaku-hen', 'Honoo no Alpenrose: Ai no Symphony Ongaku-hen']
animeCharacters	['Brendel, Alicia', 'Courtot, Lundi']
animeVoices	[]
animeStaff	[['Akaishi, Michiyo', 'Original Creator']]
