animeTitle	b'Sexfriend Gakuen'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.36
animeUsers	867
animeRank	
animePopularity	
animeDescription	b'Takeshi Ookubo is a student at the prestigious Seifuukan Academy, attended mostly by the rich and influential. Owing to his nasty physique and meager intellect, he has little prospect in getting the attention of, let alone developing a romantic relationship with, the woman of his dreams.\n\nWhen Takeshi is on the verge of giving up, God bestows upon him hypnosis powers, which Takeshi uses to seduce the attractive girls at his school and build his own harem.\n\nHe now embarks on a perverted quest, entrapping both classmates and teachers alike under his command. The academy soon transforms into his exclusive sexual playground as more and more girls begin submitting to his influence.\n\n[Written by MAL Rewrite]'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
