animeTitle	Mouretsu Atarou (1990)
animeType	TV
animeNumEpisode	34
releaseDate	1990-04-21 00:00:00
endDate	1990-12-22 00:00:00
animeNumMembers	325
animeScore	
animeUsers	
animeRank	12174
animePopularity	14289
animeDescription	"Batsugoro was the owner of a grocery store, Yaobatsu. When he tried to take a balloon hanged caught on the branch for a little child, he fell on to the ground to die. His son, Ataro, succeeded to the store, but Batsugoro was worried about him, and he remained there being a ghost. Ataro managed the shop alone, but soon his follower, Dekoppachi, began to help him. Being surrounded by strange characters such as, Nyarome, Butamatsu, the heart-warming story develops.

(Source: AnimeNfo)"
animeRelated	['Mouretsu Atarou', 'Mouretsu 50 Ototarou']
animeCharacters	['Nyarome', 'Atarou', 'Momoko', 'Kemunpas', 'Dekoppachi', 'Batsugorou', 'Kokoro no Boss']
animeVoices	['Kamiya, Akira', 'Chiko', 'Hisakawa, Aya', 'Nanba, Keiichi', 'Tonguu, Kyouko', 'Hase, Sanji', 'Yanami, Jouji']
animeStaff	[['Satou, Junichi', 'Director, Episode Director, Storyboard'], ['Nitta, Yoshikata', 'Episode Director'], ['Umezawa, Atsutoshi', 'Episode Director'], ['Tsuji, Masaki', 'Script']]
