animeTitle	Oretacha Youkai Ningen
animeType	TV
animeNumEpisode	25
releaseDate	2017-10-04 00:00:00
endDate	2018-03-28 00:00:00
animeNumMembers	1660
animeScore	
animeUsers	
animeRank	12605
animePopularity	9928
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Youkai Ningen Bem', 'Youkai Ningen Bem (2006)', 'Oretacha Youkai Ningen G']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
