animeTitle	Chikkun Takkun
animeType	TV
animeNumEpisode	23
releaseDate	1984-04-09 00:00:00
endDate	1984-09-28 00:00:00
animeNumMembers	484
animeScore	
animeUsers	
animeRank	15209
animePopularity	13044
animeDescription	"The ""Waruchin Ceremony"" has been stolen from All Star, a planet that exists in the outskirts of space. The computer that is built into it is programmed to make anything possible. The thief is actually the villain, Doctor Bell. Doctor Bell schemes to invade the other planets through the use of Waruchin. The prince of All Star, Prince Chikkun, together with his trusty advisor, the intellectual Takkun, decides to head towards Earth in pursuit of Doctor Bell. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Gijigiji', 'Dr. Bell', 'Maki', 'Papa', 'Waruchin Daijiten', 'Meko']
animeVoices	['Ogata, Kenichi', 'Chiba, Shigeru', 'Sakamoto, Chika', 'Naya, Rokurou', 'Takiguchi, Junpei', 'Matsutani, Yuuko']
animeStaff	[['Hayakawa, Keiji', 'Director'], ['Annou, Masami', 'Director'], ['Yuyama, Kunihiko', 'Episode Director, Storyboard'], ['Nishimori, Akira', 'Episode Director']]
