animeTitle	Qin Shi Ming Yue: Zhu Zi Bai Jia
animeType	TV
animeNumEpisode	34
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	270
animeRank	
animePopularity	10739
animeDescription	"The first part of this season continues where the second season ended, and the battle for the Mohist school finds its conclusion.

In the second part of the season, new alliances are made and new foes arise.

(Source: AniDB)"
animeRelated	['Qin Shi Ming Yue: Ye Jin Tianming', 'Qin Shi Ming Yue: Wanli Changcheng', 'Qin Shi Ming Yue: Kong Shan Niao Yu', 'Qin Shi Ming Yue Zhi: Luosheng Tangxia', 'Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi', 'Qin Shi Ming Yue: Tian Xing Jiu Ge']
animeCharacters	['Jing, Tianming', 'Ge, Nie', 'Wei, Zhuang', 'Gao, Yue', 'Xiang, ShaoYu', 'Zhang, Liang', 'Duanmu, Rong', 'Xiao, Yu', 'Xuenu', 'Baifeng ']
animeVoices	[]
animeStaff	[]
