animeTitle	Isuca: Gokuraku
animeType	OVA
animeNumEpisode	1
releaseDate	2015-08-26 00:00:00
endDate	
animeNumMembers	19739
animeScore	6.28
animeUsers	8578
animeRank	7274
animePopularity	4007
animeDescription	"The OVA will be bundled with the 7th volume of the manga, scheduled to ship on August 26, 2015. It will be a sea bathing episode.

(Source: MAL News)"
animeRelated	['Isuca']
animeCharacters	['Shimazu, Sakuya', 'Asano, Shinichirou', 'Tamako', 'Souma, Nadeshiko', 'Shimazu, Suseri', 'Souma, Matsuri', 'Shimazu, Nami']
animeVoices	['Kido, Ibuki', 'Koumoto, Keisuke', 'Sadohara, Kaori', 'Zougou, Saeko', 'Ichimichi, Mao', 'Kohinata, Akane', 'Ootani, Ikue']
animeStaff	[['Iwanaga, Akira', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Sadohara, Kaori', 'Theme Song Performance'], ['Junjou no Afilia', 'Theme Song Performance']]
