animeTitle	Asa made Jugyou Chu!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	24557
animeRank	
animePopularity	2568
animeDescription	The story revolves around Yuuki Kagami, a boy who enrolls in the academy of his dreams as a honors student — and is mistakenly put in the girls' dormitory where boys are prohibited. Faced with the possibility of having to leave the school, Yuuki has to dress up as a girl in the dormitory. On top of things, he ends up rooming with the female teacher Ayana Kakinozaka, who has to watch over him.
animeRelated	['Asa made Jugyou Chu!']
animeCharacters	['Kakinozaka, Ayana', 'Takabane, Risa', 'Kagami, Yuuki']
animeVoices	['Asakura, Azumi', 'Mimori, Suzuko', 'Shimoda, Asami']
animeStaff	[['Kanazawa, Hiromichi', 'Director, Script'], ['Takahashi, Hideo', 'Sound Director'], ['Mimori, Suzuko', 'Theme Song Performance'], ['Asakura, Azumi', 'Theme Song Performance']]
