animeTitle	Mikan Enikki Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	115
animeRank	
animePopularity	13686
animeDescription	An extra episode and a special of the Mikan Enikki series included as a bonus on VHS/DVD's.
animeRelated	['Mikan Enikki']
animeCharacters	['Mikan', 'Kusanagi, Tom', 'Okuda, Shizuyo', 'Tachibana, Kyouko', 'Momojirou', 'Kusanagi, Toujirou', 'Kurobuchi', 'Kusanagi, Kikuko', 'Botan']
animeVoices	['Tarako', 'Hiramatsu, Akiko', 'Yokoyama, Chisa', 'Asami, Junko', 'Cho', 'Ono, Kenichi', 'Suzuki, Katsumi', 'Shimamoto, Sumi', 'Anzai, Masahiro']
animeStaff	[['Kitagawa, Masato', 'Episode Director'], ['Imaizumi, Kenichi', 'Animation Director']]
