animeTitle	Tenbatsu Angel Rabbie☆
animeType	OVA
animeNumEpisode	1
releaseDate	2004-01-23 00:00:00
endDate	
animeNumMembers	
animeScore	5.06
animeUsers	851
animeRank	
animePopularity	9570
animeDescription	"Long years after a war destroys most of the earth, Lasty Farson is one of the ""angels"" sent to points in history to set things right. Lasty is hopelessly clumsy and inept, but once she transforms into Angel Rabbie, she's the best there is. On her first day as a debut angel, she's late, but she is sent to earth and ends up battling old robots from the war--a tall order for a rookie angel.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Farson, Lasty']
animeVoices	['Iizuka, Mayumi']
animeStaff	[['Ishihira, Shinji', 'Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Momoi, Haruko', 'Theme Song Arrangement'], ['UNDER17', 'Theme Song Performance, Music']]
