animeTitle	b'Sister Princess'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	7443
animeRank	
animePopularity	
animeDescription	b'Wataru Minakami is a top student who failed his high school entrance exam because of a computer glitch. He later discovered that he was accepted to Stargazer Hill Academy, which is located at a mysterious place called Promised Island. At the request of his father, Wataru is whisked away to the island, and before he can settle in, a dozen of cute and charming girls start to flock him and claim to be his younger sisters. As Wataru gets closer to his newfound siblings, a deeper mystery as to why they were sent to the island comes to play. \n\n(Source: ANN)'
animeRelated	[b'Sister Princess', b'Sister Princess: Re Pure']
animeCharacters	[b'Minakami, Wataru', b'Aria', b'Mamoru', b'Chikage', b'Sakuya', b'Karen', b'Yotsuba', b'Haruka', b'Shirayuki', b'Hinako']
animeVoices	[b'\nNojima, Kenji\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nKuwatani, Natsuko\nJapanese\n', b'\nHanba, Tomoe\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nHyo-sei\nJapanese\n', b'\nChiba, Chiemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakanishi, Go\n\nAssistant Producer\n\n', b'\nOhata, Kiyotaka\n\nDirector, Storyboard\n\n', b'\nGrant, Tiffany\n\nScript\n\n', b'\nSatou, Shouichi\n\nScript\n\n']
