animeTitle	b'Bang!Bang!Bang!'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	508
animeRank	
animePopularity	
animeDescription	"b'Official music video for \xc5\xb9OO\xc4\xbb\'s song ""Bang!Bang!Bang!"" for the 2019 B\xc4\xbbACK OR WHiTE event. The group is a rival group to IDOLiSH7.'"
animeRelated	[b'IDOLiSH7', b'Mr.AFFECTiON']
animeCharacters	[b'Isumi, Haruka', b'Natsume, Minami', b'Inumaru, Touma', b'Midou, Torao']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTanemura, Arina\n\nOriginal Character Design\n\n']
