animeTitle	b'Akachan Honbuchou'
animeType	b'TV'
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Comedy life of 47-year-old general manager Taketa, whose body became a baby, and his employees.'
animeRelated	[]
animeCharacters	[b'Takeda, General Manager', b'Miiko', b'Amano, Manager', b'Tachibana, Manager', b'Sakai, Manager', b'Nishiura']
animeVoices	[b'\nYasuda, Ken\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nMorikubo, Shoutarou\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nSakaguchi, Tetsuo\nJapanese\n', b'\nSaitou, Souma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAbe, Marie\n\nDirector\n\n', b'\nTakashima, Tomoya\n\nEpisode Director\n\n', b'\nHyadain\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition, Music\n\n', b'\nTakeuchi, Sachiko\n\nOriginal Creator\n\n']
