animeTitle	Ninja & Soldier
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	172
animeRank	
animePopularity	13543
animeDescription	"Two eight-year-old boys compete in a game of childish bravado. Ken is a Ninja, Nito a child soldier from the Congo who was forced to kill his own mother. Their naïve game addresses cruel realities, and they talk about their differences and what they have in common. Accompanied by contrasting graphics, the film explores the types of acts of which humankind is capable.

(Source: Berlinale)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
