animeTitle	Tanken Driland
animeType	TV
animeNumEpisode	37
releaseDate	2012-07-07 00:00:00
endDate	2013-03-30 00:00:00
animeNumMembers	
animeScore	6.52
animeUsers	918
animeRank	
animePopularity	6599
animeDescription	Due to the influence of someone who visited her town when she was a child, Princess Mikoto of Elua decides to become a hunter and search for treasure all over the land of Driland. She sets out on her journey with her personal assistant Wallens, but they are soon joined by Pollon, a hunter who dreams of being a hero, and Paan, a wandering knight. As they continue their exploration they begin to sense great danger drawing near.
animeRelated	['Tanken Driland', 'Tanken Driland: 1000-nen no Mahou']
animeCharacters	['Mikoto', 'Wallens', 'Pollon', 'Paan', 'Bonny', 'Paron']
animeVoices	['Miyamoto, Kanako', 'Nojima, Kenji', 'Kumai, Motoko', 'Uchiyama, Kouki', 'Nozawa, Masako', 'Saito, Kimiko']
animeStaff	[['Bogdan, Gyarmath', 'Producer'], ['Gree', 'Producer, Original Creator'], ['Ikeda, Youko', 'Episode Director, Storyboard'], ['Kamata, Chie', 'Script']]
