animeTitle	Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman
animeType	Movie
animeNumEpisode	1
releaseDate	2007-07-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14866
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Sabotenman', 'Batako-san', 'Yakisobapanman', 'Rollpanna', 'SLman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Uchida, Naoya', 'Sakuma, Rei', 'Kosugi, Juurouta', 'Tominaga, Miina', 'Nishimura, Tomohiro']
animeStaff	[['Ooga, Shunji', 'Episode Director'], ['Suga, Yoshiyuki', 'Screenplay'], ['Yanase, Takashi', 'Original Creator']]
