animeTitle	b'Seijun Kango Gakuin'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1152
animeRank	
animePopularity	
animeDescription	"b""You wouldn't think that a hospital would be the setting for a series of erotic adventures, but when a new crop of nurses' aides reports for duty, they're confronted by an erotic lesson plan that pushes them to the brink of ecstasy... and sanity. """
animeRelated	[]
animeCharacters	[b'Yamamoto', b'Nakayama, Risa']
animeVoices	[b'\nRyou, Nagumo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nKOTOKO\n\nTheme Song Performance, Theme Song Lyrics\n\n', b'\nSano, Hiroaki\n\nMusic\n\n']
