animeTitle	b'Inyouchuu The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	1948
animeRank	
animePopularity	
animeDescription	b'Three students are in a school late at night fighting supernatural enemies.  As they are about to leave, they get attacked and trapped.  Based off the Inyouchuu game.'
animeRelated	[b'Inyouchuu', b'Inyouchuu: Ryoushoku Gakuen Taimaroku', b'Inyouchuu Shoku: Ryoushokutou Taimaroku']
animeCharacters	[b'Shiratori, Mikoto', b'Kayama, Sui', b'Nightmare', b'Yamato']
animeVoices	[b'\nOkajima, Tae\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTokita, Banzou\n\nDirector\n\n', b'\nTanaka, Hideyuki\n\nSound Director\n\n', b'\nNobidome, Youta\n\nEpisode Director\n\n', b'\nTakahashi, Kaoru\n\nScript, Storyboard\n\n']
