animeTitle	Fushigi no Umi no Nadia
animeType	TV
animeNumEpisode	39
releaseDate	1990-04-13 00:00:00
endDate	1991-04-12 00:00:00
animeNumMembers	
animeScore	7.53
animeUsers	15675
animeRank	
animePopularity	2388
animeDescription	"In 1889, the world is on the pinnacle of great discoveries in technology. In mankind's grasp for the future, a sinister foe known only as Gargoyle, obsessed with restoring the former Atlantean empire to the glory it once held, begins his plans to take over the world. Nadia, with the help of a young inventor, Jean Roque Lartigue, and Captain Nemo of the submarine Nautilus, must fight to save the world from Gargoyle and Neo-Atlantis. Based on the Novel '20,000 Leagues Under the Sea' by Jules Verne.

(Source: ANN) "
animeRelated	['Fushigi no Umi no Nadia: Original Movie', 'Fushigi no Umi no Nadia Omake Gekijou']
animeCharacters	['la Arwall, Nadia', 'Roque Lartigue, Jean', 'King', 'Carlsberg, Marie en', 'Nemo', 'Sanson', 'Gargoyle', 'Granva, Grandis', 'Electra, Medina La Lugensius', 'Narrator']
animeVoices	['Takamori, Yoshino', 'Hidaka, Noriko', 'Sakurai, Toshiharu', 'Mizutani, Yuuko', 'Ootsuka, Akio', 'Horiuchi, Kenyuu', 'Kiyokawa, Motomu', 'Takizawa, Kumiko', 'Inoue, Kikuko']
animeStaff	[['Anno, Hideaki', 'Director, Storyboard, Animation Director, Mechanical Design'], ['Higuchi, Shinji', 'Director, Storyboard, Inserted Song Performance'], ['Shimizu, Katsunori', 'Sound Director'], ['Maeda, Mahiro', 'Episode Director, Storyboard, Setting, Key Animation, Original Creator']]
