animeTitle	Hishoka Drop The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	1531
animeRank	
animePopularity	7485
animeDescription	"A young assistant finds himself surrounded by hot office ladies so he thinks his dearest dream just came true, but soon he realizes that -more than a harem master- he is like the office sexual toy. 

(Source: ANN) "
animeRelated	['Hishoka Drop']
animeCharacters	['Kaneda, Kyoko', 'Nakazato, Hitomi', 'Enomoto, Saori']
animeVoices	['Mizusawa, Kei', 'Jinbo, Tomoe', 'Kobayashi, Maki']
animeStaff	[['Sadayama, Yanaha', 'Storyboard'], ['Haruki', 'Original Character Design, Original Creator']]
