animeTitle	Kachou no Koi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	5821
animeRank	
animePopularity	4870
animeDescription	The story centers on a manager named Odakara Kazuhiko who has spent all 33 years of his life without a girlfriend. An encounter with a new employee named Harada makes Odakara realize that he is gay.
animeRelated	['Kachou no Koi']
animeCharacters	['Odakara, Kazuhiko', 'Harada, Ryuu', 'Kumagai, Yukio', 'Blue Dragon Mama']
animeVoices	['Okiayu, Ryoutarou', 'Nojima, Kenji', 'Kamiya, Hiroshi', 'Konishi, Katsuyuki']
animeStaff	[['Matsuyama, Hanako', 'Original Creator']]
