animeTitle	b'Break Blade Picture Drama'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	2037
animeRank	
animePopularity	
animeDescription	b'DVD/BD extra.'
animeRelated	[b'Break Blade 1: Kakusei no Toki']
animeCharacters	[b'Arrow, Rygart', b'Erster, Sigyn', b'Zess', b'Hodr', b'Zaubraff, Cleo', b'Borcuse', b'Stryze, Narvi', b'Lee', b'Nike', b'Leto']
animeVoices	[b'\nHoshi, Souichirou\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nKitamura, Eri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirano, Yoshihisa\n\nMusic\n\n', b'\nIshikawa, Mitsuhisa\n\nPlanning\n\n', b'\nYoshinaga, Yunosuke\n\nOriginal Creator\n\n']
