animeTitle	Kyou, Koi wo Hajimemasu
animeType	OVA
animeNumEpisode	2
releaseDate	2010-06-25 00:00:00
endDate	2010-10-23 00:00:00
animeNumMembers	
animeScore	6.47
animeUsers	15115
animeRank	
animePopularity	3227
animeDescription	"Hibino Tsubaki is a shy, kind, and slightly old-fashioned girl who has always been the top student in her class. She always did everything her parents wanted her to do. She loved to do other girls' hair in trendy and cute styles, despite always wearing plain braids herself.

On her first day of high school at the opening ceremony, she is astonished to see that the top student giving the opening speech is not only somebody else, but also the rudest boy she has ever seen. This delinquent turns out to be her new classmate, Kyouta Tsubaki. Kyouta teases Hibino, drawing attention to their similar last names. The two are both top of their class, but are different in every other way. Even though it seems that they cannot stand each other, fate has something else in store for them…"
animeRelated	['Kyou, Koi wo Hajimemasu']
animeCharacters	['Tsubaki, Kyouta', 'Hibino, Tsubaki', 'Hibino, Sakura', 'Hasegawa, Nishiki', 'Yuki', 'Ichikura, Miho']
animeVoices	['Namikawa, Daisuke', 'Itou, Kanae', 'Yahagi, Sayuri', 'Yuzuki, Ryouka', 'Ise, Mariya']
animeStaff	[['Yamauchi, Shigeyasu', 'Director, Episode Director, Storyboard'], ['Itou, Kanae', 'Theme Song Performance'], ['French Kiss', 'Theme Song Performance'], ['Minami, Kanan', 'Original Creator']]
